org_name,asset_count,site_id,subnet,risk,avg_risk,criticality,avg_criticality,search
lab_network,7,ad67d649-041b-439d-af59-f200053a8805,192.168.40.0/24,5,0.71,0,0.0,https://console.runzero.com/inventory?search=source%3Arunzero+not+source%3Acrowdstrike+%28type%3Aserver+OR+type%3Adesktop+OR+type%3Alaptop%29+alive%3At+AND+site%3Aad67d649-041b-439d-af59-f200053a8805+AND+net%3A192.168.40.0%2F24
lab_network,7,ad67d649-041b-439d-af59-f200053a8805,192.168.0.0/24,1,0.14,0,0.0,https://console.runzero.com/inventory?search=source%3Arunzero+not+source%3Acrowdstrike+%28type%3Aserver+OR+type%3Adesktop+OR+type%3Alaptop%29+alive%3At+AND+site%3Aad67d649-041b-439d-af59-f200053a8805+AND+net%3A192.168.0.0%2F24
lab_network,2,ad67d649-041b-439d-af59-f200053a8805,192.168.50.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory?search=source%3Arunzero+not+source%3Acrowdstrike+%28type%3Aserver+OR+type%3Adesktop+OR+type%3Alaptop%29+alive%3At+AND+site%3Aad67d649-041b-439d-af59-f200053a8805+AND+net%3A192.168.50.0%2F24
lab_network,2,ad67d649-041b-439d-af59-f200053a8805,192.168.60.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory?search=source%3Arunzero+not+source%3Acrowdstrike+%28type%3Aserver+OR+type%3Adesktop+OR+type%3Alaptop%29+alive%3At+AND+site%3Aad67d649-041b-439d-af59-f200053a8805+AND+net%3A192.168.60.0%2F24
lab_network,3,ad67d649-041b-439d-af59-f200053a8805,192.168.30.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory?search=source%3Arunzero+not+source%3Acrowdstrike+%28type%3Aserver+OR+type%3Adesktop+OR+type%3Alaptop%29+alive%3At+AND+site%3Aad67d649-041b-439d-af59-f200053a8805+AND+net%3A192.168.30.0%2F24
