host,port_count,ports
192.168.30.223,2,"['0', '0']"
192.168.0.8,514,"['0', '0', '5353', '5353', '5498', '9042', '10628', '25025', '1270', '102', '16992', '12401', '1811', '20034', '5900', '109', '45230', '5432', '9530', '19300', '7077', '26000', '1030', '38292', '2103', '3389', '4659', '402', '1024', '1468', '7787', '40317', '7777', '12174', '3460', '5520', '1581', '1089', '9084', '5985', '69', '921', '7902', '554', '1530', '34964', '7100', '512', '7879', '8081', '10008', '8009', '5093', '13838', '7778', '2207', '10443', '17782', '2381', '8503', '8080', '3037', '2222', '8812', '82', '500', '27017', '1129', '41524', '17791', '6667', '13', '3300', '17777', '7474', '9999', '1090', '50013', '7700', '5672', '17185', '9000', '26122', '9855', '17784', '8883', '4444', '9418', '44334', '8000', '1199', '13364', '20222', '5060', '8023', '9160', '1300', '2375', '23791', '902', '6050', '20293', '9809', '143', '9080', '3128', '3269', '34963', '2967', '49', '2199', '20010', '17200', '3306', '6001', '34962', '910', '5580', '6379', '2083', '31099', '7373', '5671', '8787', '30000', '31001', '8090', '20031', '1521', '17778', '25', '6514', '5800', '5984', '37718', '995', '11333', '10001', '8012', '9081', '10050', '123', '9090', '9099', '4949', '6661', '7801', '8008', '623', '4786', '52302', '22222', '443', '1220', '85', '4730', '3217', '9152', '8127', '17775', '7770', '5554', '27000', '11000', '8095', '524', '1582', '502', '4567', '3050', '8880', '2121', '6060', '48899', '33060', '6988', '34205', '523', '1099', '1604', '1100', '19', '8400', '4369', '6262', '1533', '7443', '15671', '6504', '11099', '3790', '9524', '4322', '11211', '61616', '70', '5989', '4443', '1158', '18264', '111', '27080', '42', '1000', '2604', '28222', '9471', '7080', '47001', '19810', '1440', '7510', '1900', '1723', '2100', '50090', '3500', '888', '587', '2049', '49152', '105', '3268', '689', '1311', '705', '8088', '903', '5022', '2376', '6000', '4848', '88', '9002', '25672', '113', '5247', '9200', '17798', '5986', '993', '8086', '139', '3817', '513', '617', '20111', '2598', '1241', '2082', '62514', '8087', '3780', '771', '8443', '5051', '783', '65002', '8903', '12397', '2533', '5555', '9391', '8686', '9100', '5666', '8020', '5988', '8014', '9091', '8983', '57772', '25000', '7676', '5353', '9390', '1234', '912', '9380', '5601', '2181', '6080', '53', '2809', '4679', '23', '5521', '10051', '990', '161', '9300', '179', '6112', '38008', '17790', '2362', '2947', '5168', '2323', '3351', '5037', '9060', '8834', '5347', '5560', '5392', '3200', '15672', '445', '37890', '8800', '37892', '9527', '5250', '10202', '32764', '12345', '6106', '1583', '10080', '444', '6070', '119', '9440', '6002', '4000', '25565', '15200', '5920', '8098', '7', '8899', '9001', '10203', '38010', '6082', '5040', '38102', '81', '384', '5631', '8161', '8028', '17472', '7800', '8303', '540', '4840', '16993', '5400', '6503', '12203', '5683', '10162', '8471', '32913', '62078', '37891', '20101', '1101', '2000', '1103', '55553', '5632', '41080', '55580', '9495', '8099', '2638', '5938', '16102', '4343', '11234', '998', '1098', '264', '110', '8888', '1433', '636', '515', '873', '12221', '17776', '1091', '46824', '28017', '9', '37777', '10000', '34443', '5351', '9092', '37', '6660', '3690', '41523', '7071', '1883', '9595', '28784', '44818', '21', '9111', '43', '19888', '6905', '6502', '9443', '22', '1352', '3311', '407', '20171', '5038', '443', '443', '1080', '7144', '1', '3628', '52311', '8180', '4445', '222', '5355', '23943', '5275', '50070', '18881', '6101', '8030', '10616', '7021', '465', '1755', '1035', '22', '22', '8488', '8902', '47002', '7547', '79', '2379', '8333', '135', '6405', '9600', '8205', '38080', '6556', '8901', '40007', '8089', '548', '80', '41025', '1494', '2601', '8300', '631', '84', '4433', '3273', '8222', '2525', '13500', '6542', '65535', '443', '443', '443', '3299', '7001', '1211', '7210', '389', '1102', '3000', '27019', '17781', '5000', '23472', '7579', '80', '80', '80', '443', '17783', '7000', '137', '4092', '10098', '27888', '5433', '1128', '3632', '14330', '50000', '5061', '5405', '5222', '8545', '2380', '3057', '83', '7580', '7181', '20000', '46823', '5814', '3312', '']"
192.168.30.177,531,"['0', '0', '5353', '5353', '5353', '5353', '5353', '5353', '5353', '5353', '5353', '10001', '10001', '8009', '8009', '32218', '32218', '5353', '5353', '5353', '5498', '9042', '10628', '25025', '1270', '102', '16992', '12401', '1811', '20034', '5900', '109', '45230', '5432', '9530', '19300', '7077', '26000', '1030', '38292', '2103', '3389', '4659', '402', '1024', '1468', '7787', '40317', '7777', '12174', '3460', '5520', '1581', '1089', '9084', '5985', '69', '921', '7902', '554', '1530', '34964', '7100', '512', '7879', '8081', '10008', '8009', '5093', '13838', '7778', '2207', '10443', '17782', '2381', '8503', '8080', '3037', '2222', '8812', '82', '500', '27017', '1129', '41524', '17791', '6667', '13', '3300', '17777', '7474', '9999', '1090', '50013', '7700', '5672', '17185', '9000', '26122', '9855', '17784', '8883', '4444', '9418', '44334', '8000', '1199', '13364', '20222', '5060', '8023', '9160', '1300', '2375', '23791', '902', '6050', '20293', '9809', '143', '9080', '3128', '3269', '34963', '2967', '49', '2199', '20010', '17200', '3306', '6001', '34962', '910', '5580', '6379', '2083', '31099', '7373', '5671', '8787', '30000', '31001', '8090', '20031', '1521', '17778', '25', '6514', '5800', '5984', '37718', '995', '11333', '10001', '8012', '9081', '10050', '123', '9090', '9099', '4949', '6661', '7801', '8008', '623', '4786', '52302', '22222', '443', '1220', '85', '4730', '3217', '9152', '8127', '17775', '7770', '5554', '27000', '11000', '8095', '524', '1582', '502', '4567', '3050', '8880', '2121', '6060', '48899', '33060', '6988', '34205', '523', '1099', '1604', '1100', '19', '8400', '4369', '6262', '1533', '7443', '15671', '6504', '11099', '3790', '9524', '4322', '11211', '61616', '70', '5989', '4443', '1158', '18264', '111', '27080', '42', '1000', '2604', '28222', '9471', '7080', '47001', '19810', '1440', '7510', '1900', '1723', '2100', '50090', '3500', '888', '587', '2049', '49152', '105', '3268', '689', '1311', '705', '8088', '903', '5022', '2376', '6000', '4848', '88', '9002', '25672', '113', '5247', '9200', '17798', '5986', '993', '8086', '139', '3817', '513', '617', '20111', '2598', '1241', '2082', '62514', '8087', '3780', '771', '8443', '5051', '783', '65002', '8903', '12397', '2533', '5555', '9391', '8686', '9100', '5666', '8020', '5988', '8014', '9091', '8983', '57772', '25000', '7676', '5353', '9390', '1234', '912', '9380', '5601', '2181', '6080', '53', '2809', '4679', '23', '5521', '10051', '990', '161', '9300', '179', '6112', '38008', '17790', '2362', '2947', '5168', '2323', '3351', '5037', '9060', '8834', '5347', '5560', '5392', '3200', '15672', '445', '37890', '8800', '37892', '9527', '5250', '10202', '32764', '12345', '6106', '1583', '10080', '444', '6070', '119', '9440', '6002', '4000', '25565', '15200', '5920', '8098', '7', '8899', '9001', '10203', '38010', '6082', '5040', '38102', '81', '384', '5631', '8161', '8028', '17472', '7800', '8303', '540', '4840', '16993', '5400', '6503', '12203', '5683', '10162', '8471', '32913', '62078', '37891', '20101', '1101', '2000', '1103', '55553', '5632', '41080', '55580', '9495', '8099', '2638', '5938', '16102', '4343', '11234', '998', '1098', '264', '110', '8888', '1433', '636', '515', '873', '12221', '17776', '1091', '46824', '28017', '9', '37777', '10000', '34443', '5351', '9092', '37', '6660', '3690', '41523', '7071', '1883', '9595', '28784', '8008', '8008', '8008', '44818', '21', '9111', '43', '19888', '6905', '6502', '9443', '22', '1352', '3311', '407', '20171', '5038', '1080', '7144', '1', '3628', '52311', '8180', '4445', '8443', '222', '5355', '23943', '5275', '50070', '8008', '18881', '6101', '8030', '10616', '7021', '465', '1755', '1035', '8488', '8902', '47002', '7547', '79', '8012', '8012', '2379', '8333', '135', '6405', '9600', '8205', '38080', '8443', '6556', '8901', '9000', '9000', '40007', '8089', '548', '80', '41025', '1494', '2601', '8300', '631', '84', '4433', '3273', '8222', '2525', '13500', '6542', '65535', '3299', '7001', '1211', '7210', '389', '1102', '3000', '27019', '17781', '5000', '23472', '7579', '17783', '7000', '137', '4092', '10098', '27888', '5433', '1128', '3632', '8443', '8443', '14330', '50000', '5061', '5405', '5222', '8545', '2380', '3057', '83', '7580', '7181', '20000', '46823', '5814', '3312', '']"
192.168.0.63,29,"['0', '0', '8000', '902', '9080', '443', '5989', '5988', '902', '22', '8000', '443', '443', '443', '443', '443', '80', '8300', '80', '80', '80', '443', '443', '443', '443', '443', '8300', '443', '']"
192.168.40.28,526,"['0', '0', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '161', '5498', '9042', '10628', '25025', '1270', '102', '16992', '12401', '1811', '20034', '5900', '109', '45230', '5432', '9530', '19300', '7077', '26000', '1030', '38292', '2103', '3389', '4659', '402', '1024', '1468', '7787', '40317', '7777', '12174', '3460', '5520', '1581', '1089', '9084', '5985', '69', '921', '7902', '554', '1530', '34964', '7100', '512', '7879', '8081', '10008', '8009', '5093', '13838', '7778', '2207', '10443', '17782', '2381', '8503', '8080', '3037', '2222', '8812', '82', '500', '27017', '1129', '41524', '17791', '6667', '13', '3300', '17777', '7474', '9999', '1090', '50013', '7700', '5672', '17185', '9000', '26122', '9855', '17784', '8883', '4444', '9418', '44334', '8000', '1199', '13364', '20222', '5060', '8023', '9160', '1300', '2375', '23791', '902', '6050', '20293', '9809', '143', '9080', '3128', '3269', '34963', '2967', '49', '2199', '20010', '17200', '3306', '6001', '34962', '910', '5580', '6379', '2083', '31099', '7373', '5671', '8787', '30000', '31001', '8090', '20031', '1521', '17778', '25', '6514', '5800', '5984', '37718', '995', '11333', '10001', '8012', '9081', '10050', '123', '9090', '9099', '4949', '6661', '7801', '8008', '623', '4786', '52302', '22222', '443', '1220', '85', '4730', '3217', '9152', '8127', '17775', '7770', '5554', '27000', '11000', '8095', '524', '1582', '502', '4567', '3050', '8880', '2121', '6060', '48899', '33060', '6988', '34205', '523', '1099', '1604', '1100', '19', '8400', '4369', '6262', '1533', '7443', '15671', '6504', '11099', '3790', '9524', '4322', '11211', '61616', '70', '5989', '4443', '1158', '18264', '111', '27080', '42', '1000', '2604', '28222', '9471', '7080', '47001', '19810', '1440', '7510', '1900', '1723', '2100', '50090', '3500', '888', '587', '2049', '49152', '105', '3268', '689', '1311', '705', '8088', '903', '5022', '2376', '6000', '4848', '88', '9002', '25672', '113', '5247', '9200', '17798', '5986', '993', '8086', '139', '3817', '513', '617', '20111', '2598', '1241', '2082', '62514', '8087', '3780', '771', '8443', '5051', '783', '65002', '8903', '12397', '2533', '5555', '9391', '8686', '9100', '5666', '8020', '5988', '8014', '9091', '8983', '57772', '25000', '7676', '5353', '9390', '1234', '912', '9380', '5601', '2181', '6080', '53', '2809', '4679', '23', '5521', '10051', '990', '161', '9300', '179', '6112', '38008', '17790', '2362', '2947', '5168', '2323', '3351', '5037', '9060', '8834', '5347', '5560', '5392', '3200', '15672', '445', '37890', '8800', '37892', '9527', '5250', '10202', '32764', '12345', '6106', '1583', '10080', '444', '6070', '119', '9440', '6002', '4000', '25565', '15200', '5920', '8098', '7', '8899', '9001', '10203', '38010', '6082', '5040', '38102', '81', '384', '5631', '8161', '8028', '17472', '7800', '8303', '540', '4840', '16993', '5400', '6503', '12203', '5683', '10162', '8471', '32913', '62078', '37891', '20101', '1101', '2000', '1103', '55553', '5632', '41080', '55580', '9495', '8099', '2638', '5938', '16102', '4343', '11234', '998', '1098', '264', '110', '8888', '1433', '636', '515', '873', '12221', '17776', '1091', '46824', '28017', '9', '37777', '10000', '34443', '5351', '9092', '37', '6660', '3690', '41523', '7071', '1883', '9595', '28784', '44818', '21', '9111', '43', '19888', '6905', '6502', '9443', '22', '1352', '3311', '407', '20171', '5038', '1080', '7144', '1', '3628', '52311', '8180', '4445', '23', '222', '5355', '23943', '5275', '50070', '18881', '6101', '8030', '10616', '7021', '465', '1755', '1035', '8488', '8902', '47002', '7547', '79', '2379', '8333', '135', '6405', '9600', '8205', '38080', '6556', '8901', '40007', '8089', '548', '80', '41025', '1494', '2601', '8300', '631', '84', '4433', '3273', '8222', '2525', '13500', '6542', '80', '80', '80', '65535', '3299', '7001', '1211', '7210', '389', '1102', '3000', '27019', '17781', '5000', '23472', '7579', '17783', '7000', '137', '4092', '10098', '27888', '5433', '1128', '3632', '14330', '50000', '5061', '5405', '5222', '8545', '2380', '3057', '83', '7580', '7181', '20000', '46823', '5814', '3312', '']"
192.168.50.61,521,"['0', '0', '5353', '5353', '5353', '5353', '5353', '5353', '5353', '3702', '1900', '49152', '80', '80', '80', '80', '80', '49152', '49152', '80', '5353', '5498', '9042', '10628', '25025', '1270', '102', '16992', '12401', '1811', '20034', '5900', '109', '45230', '5432', '9530', '19300', '7077', '26000', '1030', '38292', '2103', '3389', '4659', '402', '1024', '1468', '7787', '40317', '7777', '12174', '3460', '5520', '1581', '1089', '9084', '5985', '69', '921', '7902', '554', '1530', '34964', '7100', '512', '7879', '8081', '10008', '8009', '5093', '13838', '7778', '2207', '10443', '17782', '2381', '8503', '8080', '3037', '2222', '8812', '82', '500', '27017', '1129', '41524', '17791', '6667', '13', '3300', '17777', '7474', '9999', '1090', '50013', '7700', '5672', '17185', '9000', '26122', '9855', '17784', '8883', '4444', '9418', '44334', '8000', '1199', '13364', '20222', '5060', '8023', '9160', '1300', '2375', '23791', '902', '6050', '20293', '9809', '143', '9080', '3128', '3269', '34963', '2967', '49', '2199', '20010', '17200', '3306', '6001', '34962', '910', '5580', '6379', '2083', '31099', '7373', '5671', '8787', '30000', '31001', '8090', '20031', '1521', '17778', '25', '6514', '5800', '5984', '37718', '995', '11333', '10001', '8012', '9081', '10050', '123', '9090', '9099', '4949', '6661', '7801', '8008', '623', '4786', '52302', '22222', '443', '1220', '85', '4730', '3217', '9152', '8127', '17775', '7770', '5554', '27000', '11000', '8095', '524', '1582', '502', '4567', '3050', '8880', '2121', '6060', '48899', '33060', '6988', '34205', '523', '1099', '1604', '1100', '19', '8400', '4369', '6262', '1533', '7443', '15671', '6504', '11099', '3790', '9524', '4322', '11211', '61616', '70', '5989', '4443', '1158', '18264', '111', '27080', '42', '1000', '2604', '28222', '9471', '7080', '47001', '19810', '1440', '1900', '7510', '1723', '2100', '50090', '3500', '888', '587', '2049', '49152', '105', '3268', '689', '1311', '705', '8088', '903', '5022', '2376', '6000', '4848', '88', '9002', '25672', '113', '5247', '9200', '17798', '5986', '993', '8086', '139', '3817', '513', '617', '20111', '2598', '1241', '2082', '62514', '8087', '3780', '771', '8443', '5051', '783', '65002', '8903', '12397', '2533', '5555', '9391', '8686', '9100', '5666', '8020', '5988', '8014', '9091', '8983', '57772', '25000', '7676', '5353', '9390', '1234', '912', '9380', '5601', '2181', '6080', '53', '2809', '4679', '23', '5521', '10051', '990', '161', '9300', '179', '6112', '38008', '17790', '2362', '8000', '2947', '5168', '2323', '3351', '5037', '9060', '8834', '5347', '5560', '5392', '3200', '15672', '445', '37890', '8800', '37892', '9527', '5250', '10202', '32764', '12345', '6106', '1583', '10080', '444', '6070', '119', '9440', '6002', '4000', '25565', '15200', '5920', '8098', '7', '8899', '9001', '10203', '38010', '6082', '5040', '38102', '81', '384', '5631', '8161', '8028', '17472', '7800', '8303', '540', '4840', '16993', '5400', '6503', '12203', '5683', '10162', '8471', '32913', '62078', '37891', '20101', '1101', '2000', '1103', '55553', '5632', '41080', '55580', '9495', '8099', '2638', '5938', '16102', '4343', '11234', '998', '1098', '264', '110', '8888', '1433', '636', '515', '873', '12221', '17776', '1091', '46824', '28017', '9', '37777', '10000', '34443', '5351', '9092', '37', '6660', '3690', '41523', '7071', '1883', '9595', '28784', '44818', '21', '9111', '43', '19888', '6905', '6502', '9443', '1352', '3311', '407', '20171', '5038', '1080', '7144', '1', '3628', '52311', '8180', '4445', '222', '5355', '23943', '5275', '50070', '18881', '6101', '8030', '10616', '7021', '465', '1755', '1035', '8488', '8902', '47002', '7547', '79', '2379', '8333', '135', '6405', '9600', '8205', '38080', '6556', '554', '8901', '40007', '8089', '548', '80', '41025', '1494', '2601', '8300', '631', '84', '4433', '3273', '8222', '2525', '13500', '6542', '65535', '3299', '7001', '1211', '7210', '389', '1102', '3000', '27019', '17781', '5000', '23472', '7579', '17783', '7000', '137', '4092', '10098', '27888', '5433', '1128', '3632', '14330', '50000', '5061', '5405', '5222', '8545', '2380', '3057', '83', '7580', '7181', '20000', '46823', '5814', '3312', '']"
192.168.40.131,506,"['0', '0', '5498', '9042', '10628', '25025', '1270', '102', '16992', '12401', '1811', '20034', '5900', '109', '45230', '5432', '9530', '19300', '7077', '26000', '1030', '38292', '2103', '3389', '4659', '402', '1024', '1468', '7787', '40317', '7777', '12174', '3460', '5520', '1581', '1089', '9084', '5985', '69', '921', '7902', '554', '1530', '34964', '7100', '512', '7879', '8081', '10008', '8009', '5093', '13838', '7778', '2207', '10443', '17782', '2381', '8503', '8080', '3037', '2222', '8812', '82', '500', '27017', '1129', '41524', '17791', '6667', '13', '3300', '17777', '7474', '9999', '1090', '50013', '7700', '5672', '17185', '9000', '26122', '9855', '17784', '8883', '4444', '9418', '44334', '8000', '1199', '13364', '20222', '5060', '8023', '9160', '1300', '2375', '23791', '902', '6050', '20293', '9809', '143', '9080', '3128', '3269', '34963', '2967', '49', '2199', '20010', '17200', '3306', '6001', '34962', '910', '5580', '6379', '2083', '31099', '7373', '5671', '8787', '30000', '31001', '8090', '20031', '1521', '17778', '25', '6514', '5800', '5984', '37718', '995', '11333', '10001', '8012', '9081', '10050', '123', '9090', '9099', '4949', '6661', '7801', '8008', '623', '4786', '52302', '22222', '443', '1220', '85', '4730', '3217', '9152', '8127', '17775', '7770', '5554', '27000', '11000', '8095', '524', '1582', '502', '4567', '3050', '8880', '2121', '6060', '48899', '33060', '6988', '34205', '523', '1099', '1604', '1100', '443', '19', '8400', '4369', '6262', '1533', '7443', '15671', '6504', '11099', '3790', '9524', '4322', '11211', '61616', '70', '5989', '4443', '1158', '18264', '111', '27080', '42', '1000', '2604', '28222', '9471', '7080', '47001', '19810', '1440', '7510', '1900', '1723', '2100', '50090', '3500', '888', '587', '2049', '49152', '105', '3268', '689', '1311', '705', '8088', '903', '5022', '2376', '6000', '4848', '88', '9002', '25672', '113', '5247', '9200', '17798', '5986', '993', '8086', '139', '3817', '513', '617', '20111', '2598', '1241', '2082', '62514', '8087', '3780', '771', '8443', '5051', '783', '65002', '8903', '12397', '2533', '5555', '9391', '8686', '9100', '5666', '8020', '5988', '8014', '9091', '8983', '57772', '25000', '7676', '5353', '9390', '1234', '912', '9380', '5601', '2181', '6080', '53', '2809', '4679', '23', '5521', '10051', '990', '161', '9300', '179', '6112', '38008', '17790', '2362', '2947', '5168', '2323', '3351', '5037', '9060', '8834', '5347', '5560', '5392', '3200', '15672', '445', '37890', '8800', '37892', '9527', '5250', '10202', '32764', '12345', '6106', '1583', '10080', '444', '6070', '119', '9440', '6002', '4000', '25565', '15200', '5920', '8098', '7', '8899', '9001', '10203', '38010', '6082', '5040', '38102', '81', '384', '5631', '8161', '8028', '17472', '7800', '8303', '540', '4840', '16993', '5400', '6503', '12203', '5683', '10162', '8471', '32913', '62078', '37891', '20101', '1101', '2000', '1103', '55553', '5632', '41080', '55580', '9495', '8099', '2638', '5938', '16102', '4343', '11234', '998', '1098', '264', '110', '8888', '1433', '636', '515', '873', '12221', '17776', '1091', '46824', '28017', '9', '37777', '10000', '34443', '5351', '9092', '37', '6660', '3690', '41523', '7071', '1883', '9595', '28784', '44818', '21', '9111', '43', '19888', '6905', '6502', '9443', '22', '1352', '3311', '407', '20171', '5038', '1080', '7144', '1', '3628', '52311', '8180', '4445', '222', '5355', '23943', '5275', '50070', '18881', '6101', '8030', '10616', '7021', '465', '1755', '1035', '8488', '8902', '47002', '7547', '79', '2379', '8333', '135', '6405', '9600', '8205', '38080', '6556', '8901', '40007', '8089', '548', '80', '41025', '1494', '2601', '8300', '631', '84', '4433', '3273', '8222', '2525', '13500', '6542', '65535', '3299', '7001', '1211', '7210', '389', '1102', '3000', '80', '80', '80', '27019', '17781', '5000', '23472', '7579', '17783', '7000', '137', '4092', '10098', '27888', '5433', '1128', '3632', '14330', '50000', '5061', '5405', '5222', '8545', '2380', '3057', '83', '7580', '7181', '20000', '46823', '5814', '3312', '80', '']"
192.168.40.3,10,"['0', '0', '111', '111', '111', '3780', '3780', '8834', '8834', '8834']"
192.168.40.234,516,"['0', '0', '5498', '9042', '10628', '25025', '1270', '102', '16992', '12401', '1811', '20034', '5900', '109', '45230', '5432', '9530', '19300', '7077', '26000', '1030', '38292', '2103', '3389', '4659', '402', '1024', '1468', '7787', '40317', '7777', '12174', '3460', '5520', '1581', '1089', '9084', '5985', '69', '921', '7902', '554', '1530', '34964', '7100', '512', '7879', '8081', '10008', '8009', '5093', '13838', '7778', '2207', '10443', '17782', '2381', '8503', '8080', '3037', '2222', '8812', '82', '500', '27017', '1129', '41524', '17791', '6667', '13', '3300', '17777', '7474', '9999', '1090', '50013', '7700', '5672', '17185', '9000', '26122', '9855', '17784', '8883', '4444', '9418', '44334', '8000', '1199', '13364', '20222', '5060', '8023', '9160', '1300', '2375', '23791', '902', '6050', '20293', '9809', '143', '9080', '3128', '3269', '34963', '2967', '49', '2199', '20010', '17200', '3306', '6001', '34962', '910', '5580', '6379', '2083', '31099', '7373', '5671', '8787', '30000', '31001', '8090', '20031', '1521', '17778', '25', '6514', '5800', '5984', '37718', '995', '11333', '10001', '8012', '9081', '10050', '123', '9090', '9099', '4949', '6661', '7801', '8008', '623', '4786', '52302', '22222', '443', '1220', '85', '4730', '3217', '9152', '8127', '17775', '7770', '5554', '27000', '11000', '8095', '524', '1582', '502', '4567', '3050', '8880', '2121', '6060', '48899', '33060', '6988', '34205', '523', '1099', '1604', '1100', '19', '8400', '4369', '6262', '1533', '7443', '15671', '6504', '11099', '3790', '9524', '4322', '11211', '61616', '70', '5989', '4443', '1158', '18264', '111', '27080', '42', '1000', '2604', '28222', '9471', '7080', '47001', '19810', '1440', '7510', '1900', '1723', '2100', '50090', '3500', '888', '587', '2049', '49152', '105', '3268', '689', '1311', '705', '8088', '903', '5022', '2376', '6000', '4848', '88', '9002', '25672', '113', '5247', '9200', '17798', '5986', '993', '8086', '139', '3817', '513', '617', '20111', '2598', '1241', '2082', '62514', '8087', '3780', '771', '5051', '783', '65002', '8903', '12397', '2533', '5555', '9391', '8686', '9100', '5666', '8020', '5988', '8014', '9091', '8983', '57772', '25000', '7676', '5353', '9390', '1234', '912', '9380', '5601', '2181', '6080', '53', '2809', '4679', '23', '5521', '10051', '990', '161', '9300', '179', '6112', '38008', '17790', '2362', '2947', '5168', '2323', '3351', '5037', '9060', '8834', '5347', '5560', '5392', '3200', '15672', '445', '37890', '8800', '37892', '9527', '5250', '10202', '32764', '12345', '6106', '1583', '10080', '444', '6070', '119', '9440', '6002', '4000', '25565', '15200', '5920', '8098', '7', '8899', '9001', '10203', '38010', '6082', '5040', '38102', '81', '384', '5631', '8161', '8028', '17472', '7800', '8303', '540', '4840', '16993', '5400', '6503', '12203', '5683', '10162', '8471', '32913', '62078', '37891', '20101', '1101', '2000', '1103', '55553', '5632', '41080', '55580', '9495', '8099', '2638', '5938', '16102', '4343', '11234', '998', '1098', '264', '110', '8888', '1433', '636', '515', '873', '12221', '17776', '1091', '46824', '28017', '9', '37777', '10000', '34443', '5351', '9092', '37', '6660', '3690', '41523', '7071', '1883', '9595', '8090', '8090', '8090', '28784', '44818', '21', '9111', '43', '19888', '6905', '6502', '9443', '22', '1352', '3311', '407', '20171', '5038', '443', '443', '1080', '7144', '1', '3628', '52311', '443', '8180', '4445', '222', '5355', '23943', '5275', '50070', '18881', '6101', '8030', '10616', '7021', '465', '1755', '1035', '22', '22', '8488', '8902', '47002', '7547', '79', '2379', '8333', '135', '6405', '9600', '8205', '38080', '6556', '8901', '40007', '8089', '548', '80', '41025', '1494', '2601', '8300', '631', '84', '4433', '3273', '8222', '2525', '13500', '6542', '65535', '3299', '7001', '1211', '7210', '389', '1102', '3000', '27019', '17781', '5000', '23472', '7579', '80', '80', '80', '17783', '443', '443', '443', '7000', '137', '4092', '10098', '27888', '5433', '1128', '3632', '14330', '50000', '5061', '5405', '5222', '8545', '2380', '3057', '83', '7580', '7181', '20000', '46823', '5814', '3312', '80', '', '']"
192.168.50.3,10,"['0', '0', '111', '111', '111', '3780', '3780', '8834', '8834', '8834']"
