id,addresses,addresses_extra,names,risks,risk_count
8299c9d8-b152-4fdd-b2d4-c7d054a457b4,"['13.110.24.10', '13.110.24.13']",[],"['MDSRCOMMUNITY-SAT.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SIT.JNJ.COM', 'MDSRCOMMUNITY.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE-IAD.SLB.SFDCSVC.NET', 'SLEDGE2-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
3de76cda-b01d-4756-b2cf-a191bbd0dc96,"['13.110.24.10', '13.110.24.13']",[],"['MDSRCOMMUNITY-SAT.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SIT.JNJ.COM', 'MDSRCOMMUNITY.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE-IAD.SLB.SFDCSVC.NET', 'SLEDGE2-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
93e59e6a-31b2-4bcc-9931-b65d35daf1c2,"['13.110.24.10', '13.110.24.13']",[],"['MDSRCOMMUNITY-SAT.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SIT.JNJ.COM', 'MDSRCOMMUNITY.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE-IAD.SLB.SFDCSVC.NET', 'SLEDGE2-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
17c0410f-5967-4b4e-b916-013a882ed7fa,"['13.110.24.10', '13.110.24.13']",[],"['MDSRCOMMUNITY-SAT.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SIT.JNJ.COM', 'MDSRCOMMUNITY.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE-IAD.SLB.SFDCSVC.NET', 'SLEDGE2-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
26886a88-6357-4950-a1b9-c14814667585,"['13.110.24.10', '13.110.24.13']",[],"['MDSRCOMMUNITY-SAT.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SIT.JNJ.COM', 'MDSRCOMMUNITY.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE-IAD.SLB.SFDCSVC.NET', 'SLEDGE2-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
56d5e1cf-1f28-4b03-974a-f5ee1088f9d4,"['104.18.40.183', '172.64.147.73']",[],['QA.STEM-WEBFORMEXT.JNJ.COM'],['Authenticated Web Services'],1
a76ad896-ca13-4551-a2fa-1a0c46425eb5,"['104.18.40.183', '172.64.147.73']",[],['QA.STEM-WEBFORMEXT.JNJ.COM'],['Authenticated Web Services'],1
43e733d6-d21f-4d4a-b5eb-7d3005bbe2b5,['52.212.229.208'],[],"['PROKTOS-FR-DEV.JNJEMEAB7.JNJ.COM', 'JNJCONEMEAB7D4-DEV.JNJ.COM', 'EC2-52-212-229-208.EU-WEST-1.COMPUTE.AMAZONAWS.COM', 'LISTERINE-BE-DEV.JNJEMEAB7.JNJ.COM', 'LISTERINE-CH-DEV.JNJEMEAB7.JNJ.COM', 'LISTERINE-NL-DEV.JNJEMEAB7.JNJ.COM', 'LISTERINE-TR-DEV.JNJEMEAB7.JNJ.COM', 'NETT-FR-DEV.JNJEMEAB7.JNJ.COM', 'PROD.ACQUIA-SITES.COM']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
f2730712-13b0-4eb5-a40c-58947347bb8e,['52.212.229.208'],[],"['PROKTOS-FR-DEV.JNJEMEAB7.JNJ.COM', 'JNJCONEMEAB7D4-DEV.JNJ.COM', 'EC2-52-212-229-208.EU-WEST-1.COMPUTE.AMAZONAWS.COM', 'LISTERINE-BE-DEV.JNJEMEAB7.JNJ.COM', 'LISTERINE-CH-DEV.JNJEMEAB7.JNJ.COM', 'LISTERINE-NL-DEV.JNJEMEAB7.JNJ.COM', 'LISTERINE-TR-DEV.JNJEMEAB7.JNJ.COM', 'NETT-FR-DEV.JNJEMEAB7.JNJ.COM', 'PROD.ACQUIA-SITES.COM']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
ba767d45-44ae-4f62-bc77-8fa9e073f36c,['148.177.146.43'],[],"['PHM2ISEUQ.JNJ.COM', 'CNS2ISEUQ.JNJ.COM', 'CNSISEUQ.JNJ.COM', 'EMEDSISEUQ.JNJ.COM', 'MBOXISEUQ.JNJ.COM', 'MDD2ISEUQ.JNJ.COM', 'MDDISEUQ.JNJ.COM', 'PHMISEUQ.JNJ.COM', 'WEBMGSEUQA.JNJ.COM', 'WISEISEUQ.JNJ.COM']",['Authenticated Web Services'],1
1dfcf394-da0f-4756-b169-c4a51b29448a,['148.177.146.43'],[],"['PHM2ISEUQ.JNJ.COM', 'CNS2ISEUQ.JNJ.COM', 'CNSISEUQ.JNJ.COM', 'EMEDSISEUQ.JNJ.COM', 'MBOXISEUQ.JNJ.COM', 'MDD2ISEUQ.JNJ.COM', 'MDDISEUQ.JNJ.COM', 'PHMISEUQ.JNJ.COM', 'WEBMGSEUQA.JNJ.COM', 'WISEISEUQ.JNJ.COM']",['Authenticated Web Services'],1
f34d2c43-920e-4665-a504-7b45adf90050,['13.54.88.239'],[],"['LENS.JNJ.COM', 'AU.PLATFORMSH.SITE', 'EC2-13-54-88-239.AP-SOUTHEAST-2.COMPUTE.AMAZONAWS.COM', 'TAGMANAGER.JNJ.COM', 'WWW.LENS.JNJ.COM']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
343624b3-eec8-4703-9045-a5d1be8dd8af,"['13.54.222.56', '13.55.140.143']",[],"['TAGMANAGER.JNJ.COM', 'AU.PLATFORMSH.SITE', 'EC2-13-54-222-56.AP-SOUTHEAST-2.COMPUTE.AMAZONAWS.COM', 'EC2-13-55-140-143.AP-SOUTHEAST-2.COMPUTE.AMAZONAWS.COM']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
