error,count
invalid target 127.0.0.1/32: ipv4 loopback is not supported,2
"serverinfo probe failed for http://157.185.170.20:88/server-info: Get ""http://157.185.170.20:88/server-info"": read tcp 157.245.213.52:45896->157.185.170.20:88: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.163.113:88/server-info: Get ""http://157.185.163.113:88/server-info"": read tcp 157.245.213.52:53910->157.185.163.113:88: read: connection reset by peer",1
http/1 probe failed to connect to 157.185.163.113:88 - https://hicampus.e.huawei.com:88/: http/1 probe failed to tls handshake https://hicampus.e.huawei.com:88/: tls: first record does not look like a TLS handshake,1
"serverinfo probe failed for http://157.185.175.105:88/server-info: Get ""http://157.185.175.105:88/server-info"": read tcp 157.245.213.52:44762->157.185.175.105:88: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.163.113:1433/server-info: Get ""http://157.185.163.113:1433/server-info"": read tcp 157.245.213.52:54454->157.185.163.113:1433: read: connection reset by peer",1
http/1 probe failed to read data for 157.185.163.113:1433 - http://hicampus.e.huawei.com:1433/: read tcp 157.245.213.52:54458->157.185.163.113:1433: read: connection reset by peer,1
"serverinfo probe failed for http://163.171.129.134:88/server-info: Get ""http://163.171.129.134:88/server-info"": read tcp 157.245.213.52:56148->163.171.129.134:88: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.175.105:1433/server-info: Get ""http://157.185.175.105:1433/server-info"": read tcp 157.245.213.52:33600->157.185.175.105:1433: read: connection reset by peer",1
http/1 probe failed to connect to 157.185.175.105:88 - https://software.huawei.com:88/: http/1 probe failed to tls handshake https://software.huawei.com:88/: tls: first record does not look like a TLS handshake,1
http/1 probe failed to read data for 157.185.175.105:1433 - http://software.huawei.com:1433/: read tcp 157.245.213.52:33604->157.185.175.105:1433: read: connection reset by peer,1
http/1 probe failed to connect to 163.171.129.134:88 - https://en.e-learning.huawei.com:88/: http/1 probe failed to tls handshake https://en.e-learning.huawei.com:88/: tls: first record does not look like a TLS handshake,1
http/1 probe skipping redirect to same URL: 157.185.170.20:443 - https://download.hissoho.huawei.com:443/cloudlogin/,13
"serverinfo probe failed for http://157.185.170.20:8000/server-info: Get ""http://157.185.170.20:8000/server-info"": read tcp 157.245.213.52:44166->157.185.170.20:8000: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.170.20:8080/server-info: Get ""http://157.185.170.20:8080/server-info"": read tcp 157.245.213.52:50366->157.185.170.20:8080: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.163.113:8080/server-info: Get ""http://157.185.163.113:8080/server-info"": read tcp 157.245.213.52:48150->157.185.163.113:8080: read: connection reset by peer",1
http/1 probe failed to connect to 157.185.163.113:8080 - https://hicampus.e.huawei.com:8080/: http/1 probe failed to tls handshake https://hicampus.e.huawei.com:8080/: tls: first record does not look like a TLS handshake,1
"serverinfo probe failed for http://157.185.175.105:8080/server-info: Get ""http://157.185.175.105:8080/server-info"": read tcp 157.245.213.52:47022->157.185.175.105:8080: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.170.20:8880/server-info: Get ""http://157.185.170.20:8880/server-info"": read tcp 157.245.213.52:34194->157.185.170.20:8880: read: connection reset by peer",1
"serverinfo probe failed for http://163.171.129.134:8080/server-info: Get ""http://163.171.129.134:8080/server-info"": read tcp 157.245.213.52:60716->163.171.129.134:8080: read: connection reset by peer",1
http/1 probe failed to connect to 157.185.175.105:8080 - https://software.huawei.com:8080/: http/1 probe failed to tls handshake https://software.huawei.com:8080/: tls: first record does not look like a TLS handshake,1
http/1 probe failed to connect to 163.171.129.134:8080 - https://en.e-learning.huawei.com:8080/: http/1 probe failed to tls handshake https://en.e-learning.huawei.com:8080/: tls: first record does not look like a TLS handshake,1
"serverinfo probe failed for http://157.185.170.20:8787/server-info: Get ""http://157.185.170.20:8787/server-info"": read tcp 157.245.213.52:39422->157.185.170.20:8787: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.170.20:8088/server-info: Get ""http://157.185.170.20:8088/server-info"": read tcp 157.245.213.52:51996->157.185.170.20:8088: read: connection reset by peer",1
"serverinfo probe failed for https://157.185.163.113:9443/server-info: Get ""https://157.185.163.113:9443/server-info"": read tcp 157.245.213.52:44156->157.185.163.113:9443: read: connection reset by peer",1
"serverinfo probe failed for https://157.185.175.105:9443/server-info: Get ""https://157.185.175.105:9443/server-info"": read tcp 157.245.213.52:40720->157.185.175.105:9443: read: connection reset by peer",1
"serverinfo probe failed for https://163.171.129.134:9443/server-info: Get ""https://163.171.129.134:9443/server-info"": read tcp 157.245.213.52:37010->163.171.129.134:9443: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.170.20:10080/server-info: Get ""http://157.185.170.20:10080/server-info"": read tcp 157.245.213.52:44804->157.185.170.20:10080: read: connection reset by peer",1
"serverinfo probe failed for https://157.185.163.113:443/server-info: Get ""https://157.185.163.113:443/server-info"": read tcp 157.245.213.52:54072->157.185.163.113:443: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.170.20:80/server-info: Get ""http://157.185.170.20:80/server-info"": read tcp 157.245.213.52:46270->157.185.170.20:80: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.163.113:80/server-info: Get ""http://157.185.163.113:80/server-info"": read tcp 157.245.213.52:34708->157.185.163.113:80: read: connection reset by peer",1
"serverinfo probe failed for http://157.185.175.105:80/server-info: Get ""http://157.185.175.105:80/server-info"": read tcp 157.245.213.52:53560->157.185.175.105:80: read: connection reset by peer",1
http/1 probe failed to read data for 157.185.163.113:9443 - https://hicampus.e.huawei.com:9443/: read tcp 157.245.213.52:44206->157.185.163.113:9443: read: connection reset by peer,1
"serverinfo probe failed for http://163.171.129.134:80/server-info: Get ""http://163.171.129.134:80/server-info"": read tcp 157.245.213.52:54048->163.171.129.134:80: read: connection reset by peer",1
http/1 probe failed to read data for 157.185.175.105:9443 - https://software.huawei.com:9443/: read tcp 157.245.213.52:40788->157.185.175.105:9443: read: connection reset by peer,1
