org_name,asset_count,site_id,subnet,risk,avg_risk,criticality,avg_criticality,search
demo_organization,10,b19a58f7-0c91-4c2a-b6dd-05aea73fb772,192.168.0.0/24,2,0.2,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3Ab19a58f7-0c91-4c2a-b6dd-05aea73fb772+AND+net%3A192.168.0.0%2F24
demo_organization,7,b19a58f7-0c91-4c2a-b6dd-05aea73fb772,192.168.30.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3Ab19a58f7-0c91-4c2a-b6dd-05aea73fb772+AND+net%3A192.168.30.0%2F24
